name,sector
Amitriptyline Hydrochloride,Health Care
Escitalopram,Health Care
equaline nicotine,Health Care
Childrens Ibuprofen 100,Health Care
Disopyramide Phosphate ,Health Care
Naproxen,Health Care
Allergy Rescue,Health Care
ESIKA,Health Care
OVACE Plus,Health Care
PLENDIL,Health Care
"Tomatoes - Cherry, Yellow",Consumer
Smirnoff Green Apple Twist,Consumer
Cookie Dough - Double,Consumer
Radish,Consumer
Curry Powder Madras,Consumer
Wine - Magnotta - Belpaese,Consumer
V8 - Tropical Blend,Consumer
Huck White Towels,Consumer
"Cup - 6oz, Foam",Consumer
"Soup - Campbells, Chix Gumbo",Consumer
Domainer,Technology
Regrant,Technology
Hatity,Technology
Namfix,Technology
Fixflex,Technology
Hatity,Technology
Matsoft,Technology
Zathin,Technology
Biodex,Technology
Quo Lux,Technology
Bank accounts,Finance
Investment,Finance
Venture capital,Finance
Lending,Finance
Credit card,Finance
Crypto exchange,Finance
Accounting,Finance
Stock market exchange,Finance
Mortgages,Finance
Financial advisor,Finance
Shipping,Transport
Trucking,Transport
By Train,Transport
By Air plane,Transport
Fast delivery,Transport
Oil,Energy
Gas,Energy
Electricity,Energy
Solar cells,Energy
Wind turbines,Energy
Hydroelectric turbines,Energy
Meat,Agriculture
Wheat,Agriculture
Corn,Agriculture
Soy,Agriculture
